Yar  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Yar  Saturday
9:00  -  9:14,60539863,Copperbelt,Kitwe,Urban,Female,1,None,C1,Completed high School,Orthodox,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,15 – 18,9:00  -  9:14
13:00  -  13:14,60552946,Copperbelt,Chilililabombwe,Urban,Female,1,None,C2,Completed high School,Other Christian,Housewife,Do not know,Do not know,No,45+,"12:00  -  12:14,13:00  -  13:14"
12:00  -  12:14,60552946,Copperbelt,Chilililabombwe,Urban,Female,1,None,C2,Completed high School,Other Christian,Housewife,Do not know,Do not know,No,45+,"12:00  -  12:14,13:00  -  13:14"
16:00  -  16:14,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"16:00  -  16:14,16:45  -  16:59"
16:45  -  16:59,60555770,Copperbelt,Kitwe,Urban,Female,3,One,C1,Completed high School,Orthodox,Housewife,C1,"K 26,320   -  K 29,689",Yes,25 – 34,"16:00  -  16:14,16:45  -  16:59"
6:15  -  6:29,60560018,Copperbelt,Kitwe,Urban,Female,3,None,C1,Completed high School,Orthodox,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34,6:15  -  6:29
5:45  -  5:59,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:30  -  5:44,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:15  -  5:29,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
5:00  -  5:14,60599944,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Others,Student,C2,Under K 849,Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59"
9:30  -  9:44,60607482,Copperbelt,Kitwe,Urban,Male,2,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60607482,Copperbelt,Kitwe,Urban,Male,2,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:15  -  9:29,60607482,Copperbelt,Kitwe,Urban,Male,2,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60607482,Copperbelt,Kitwe,Urban,Male,2,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:00  -  8:14,60707844,Copperbelt,Kitwe,Rural,Female,3,None,C2,Completed high School,Others,Self employed,D,"K 3,155   -  K 3,890",Yes,25 – 34,"8:00  -  8:14,10:45  -  10:59"
10:45  -  10:59,60707844,Copperbelt,Kitwe,Rural,Female,3,None,C2,Completed high School,Others,Self employed,D,"K 3,155   -  K 3,890",Yes,25 – 34,"8:00  -  8:14,10:45  -  10:59"
20:45  -  20:59,82271462,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14"
21:00  -  21:14,82271462,Copperbelt,Kitwe,Urban,Female,2,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Under K 849,Yes,19 – 24,"20:45  -  20:59,21:00  -  21:14"
9:30  -  9:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
9:45  -  9:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:45  -  10:59,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:00  -  10:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:30  -  10:44,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
9:00  -  9:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
9:15  -  9:29,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
11:00  -  11:14,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
10:15  -  10:29,82291925,Copperbelt,Kitwe,Urban,Female,3,None,C1,Some university,Other Christian,Student,C1,"K 3,155   -  K 3,890",Yes,35 – 44,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
11:45  -  11:59,82363576,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,K 850-K 1674,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
12:15  -  12:29,82363576,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,K 850-K 1674,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
12:30  -  12:44,82363576,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,K 850-K 1674,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
12:00  -  12:14,82363576,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,K 850-K 1674,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
11:15  -  11:29,82363576,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,K 850-K 1674,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
11:00  -  11:14,82363576,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,K 850-K 1674,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
11:30  -  11:44,82363576,Copperbelt,Kitwe,Urban,Female,1,None,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,K 850-K 1674,Yes,19 – 24,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44"
18:00  -  18:14,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:15  -  18:29,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
18:30  -  18:44,82378692,Copperbelt,Kitwe,Urban,Male,3,None,C1,Completed high School,Other Christian,Working Full-Time,C1,"K 2,500   -  K 3,154",Yes,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44"
17:00  -  17:14,82378693,Copperbelt,Kitwe,Urban,Male,3,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 5,365  -  K 6,102",Yes,25 – 34,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
