Kokoliko  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kokoliko  Tuesday
10:45  -  10:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
10:00  -  10:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
10:30  -  10:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
11:15  -  11:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
11:00  -  11:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
11:30  -  11:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
10:15  -  10:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
15:00  -  15:14,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
17:00  -  17:14,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:00  -  16:14,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14:00  -  14:14,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14:15  -  14:29,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:30  -  15:44,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:45  -  15:59,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:15  -  16:29,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
15:15  -  15:29,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
16:45  -  16:59,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
14:30  -  14:44,60578498,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Anglican/Protestant,Working Full-Time,Do not know,Under K 849,No,25 – 34,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14"
