Mazabuka  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Friday
10:00  -  10:14,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:30  -  10:44,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,",10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
10:15  -  10:29,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
9:00  -  9:14,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
15:45  -  15:59,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:00  -  16:14,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
10:00  -  10:14,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:15  -  16:29,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
16:30  -  16:44,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
9:15  -  9:29,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
9:45  -  9:59,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
9:30  -  9:44,60748705,Southern,Mazabuka,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,35 – 44,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44"
9:00  -  9:14,60748712,Southern,Mazabuka,Rural,Female,1,None,D,Some primary school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,45+,",8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:15  -  9:29,60748712,Southern,Mazabuka,Rural,Female,1,None,D,Some primary school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,45+,",8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
8:45  -  8:59,60748712,Southern,Mazabuka,Rural,Female,1,None,D,Some primary school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,45+,",8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60748712,Southern,Mazabuka,Rural,Female,1,None,D,Some primary school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,45+,",8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60748712,Southern,Mazabuka,Rural,Female,1,None,D,Some primary school,Seventh Day Adventists,Housewife,D,Under K 849,Yes,45+,",8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
