PASME  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Tuesday
10:15  -  10:29,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:00  -  9:14,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
10:00  -  10:14,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:15  -  9:29,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:45  -  9:59,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
9:30  -  9:44,60708515,Eastern,Petauke,Urban,Female,1,None,C2,Primary school completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],D,"K 2,500   -  K 3,154",No,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
12:15  -  12:29,60708517,Eastern,Petauke,Urban,Female,1,None,D,Completed high School,Others,Housewife,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,60708517,Eastern,Petauke,Urban,Female,1,None,D,Completed high School,Others,Housewife,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:00  -  12:14,60708517,Eastern,Petauke,Urban,Female,1,None,D,Completed high School,Others,Housewife,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:45  -  12:59,60708517,Eastern,Petauke,Urban,Female,1,None,D,Completed high School,Others,Housewife,D,Under K 849,Yes,25 – 34,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:00  -  12:14,60832103,Eastern,Petauke,Rural,Female,1,None,D,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 18,12:00  -  12:14
9:15  -  9:29,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:30  -  9:44,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:00  -  9:14,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
9:45  -  9:59,60832107,Eastern,Petauke,Rural,Female,0,None,C2,Primary school completed,Other Christian,Self employed,D,Under K 849,Yes,45+,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59"
10:15  -  10:29,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
10:30  -  10:44,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:45  -  12:59,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
10:00  -  10:14,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
10:45  -  10:59,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:15  -  12:29,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:30  -  12:44,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
12:00  -  12:14,60832110,Eastern,Petauke,Rural,Male,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59"
7:15  -  7:29,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:45  -  7:59,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:30  -  7:44,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:00  -  7:14,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
