PASME  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Yesterday
12:00  -  12:14,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"12:00  -  12:14,15:45  -  15:59"
15:45  -  15:59,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,"12:00  -  12:14,15:45  -  15:59"
14:15  -  14:29,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"12:00  -  12:14,14:15  -  14:29"
12:00  -  12:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"12:00  -  12:14,14:15  -  14:29"
20:00  -  20:14,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,0:15  -  0:29"
0:15  -  0:29,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,"20:00  -  20:14,0:15  -  0:29"
20:45  -  20:59,60543326,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"7:00  -  7:14,7:30  -  7:44,19:00  -  19:14,20:45  -  20:59"
19:00  -  19:14,60543326,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"7:00  -  7:14,7:30  -  7:44,19:00  -  19:14,20:45  -  20:59"
7:30  -  7:44,60543326,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"7:00  -  7:14,7:30  -  7:44,19:00  -  19:14,20:45  -  20:59"
7:00  -  7:14,60543326,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"7:00  -  7:14,7:30  -  7:44,19:00  -  19:14,20:45  -  20:59"
6:00  -  6:14,60543327,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"6:00  -  6:14,7:00  -  7:14"
7:00  -  7:14,60543327,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,"6:00  -  6:14,7:00  -  7:14"
7:00  -  7:14,60543328,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"7:00  -  7:14,8:45  -  8:59"
8:45  -  8:59,60543328,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,19 – 24,"7:00  -  7:14,8:45  -  8:59"
7:45  -  7:59,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"7:00  -  7:14,7:45  -  7:59,13:00  -  13:14,14:45  -  14:59"
13:00  -  13:14,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"7:00  -  7:14,7:45  -  7:59,13:00  -  13:14,14:45  -  14:59"
14:45  -  14:59,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"7:00  -  7:14,7:45  -  7:59,13:00  -  13:14,14:45  -  14:59"
7:00  -  7:14,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,"7:00  -  7:14,7:45  -  7:59,13:00  -  13:14,14:45  -  14:59"
19:00  -  19:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"19:00  -  19:14,19:45  -  19:59"
19:45  -  19:59,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"19:00  -  19:14,19:45  -  19:59"
6:45  -  6:59,60628616,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:45  -  6:59,12:00  -  12:14,12:45  -  12:59"
6:00  -  6:14,60628616,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:45  -  6:59,12:00  -  12:14,12:45  -  12:59"
12:00  -  12:14,60628616,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:45  -  6:59,12:00  -  12:14,12:45  -  12:59"
12:45  -  12:59,60628616,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,6:45  -  6:59,12:00  -  12:14,12:45  -  12:59"
7:45  -  7:59,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14"
7:30  -  7:44,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14"
12:00  -  12:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14"
7:00  -  7:14,60688038,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:30  -  7:44,7:45  -  7:59,12:00  -  12:14"
