Mazabuka  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Mazabuka  Wednesday
18:00  -  18:14,60530086,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:30  -  17:44,60530086,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:15  -  17:29,60530086,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60530086,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,60530086,Southern,Mazabuka,Urban,Female,1,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
19:15  -  19:29,60538849,Southern,Mazabuka,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:45  -  19:59,60538849,Southern,Mazabuka,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
20:00  -  20:14,60538849,Southern,Mazabuka,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
19:30  -  19:44,60538849,Southern,Mazabuka,Urban,Male,0,None,C2,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34,"19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
13:00  -  13:14,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29"
12:45  -  12:59,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29"
13:15  -  13:29,60559105,Southern,Mazabuka,Urban,Female,1,None,C2,Some high school,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"12:45  -  12:59,13:00  -  13:14,13:15  -  13:29"
16:15  -  16:29,60596170,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:45  -  16:59,60596170,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:30  -  16:44,60596170,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
16:00  -  16:14,60596170,Southern,Mazabuka,Urban,Male,0,None,C2,Some high school,Other Christian,Working Part-Time,D,Under K 849,Yes,19 – 24,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59"
12:00  -  12:14,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:45  -  11:59,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:30  -  11:44,60633196,Southern,Mazabuka,Urban,Male,1,None,C1,Completed high School,Seventh Day Adventists,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,45+,"11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:00  -  10:14,60633198,Southern,Mazabuka,Urban,Male,2,None,C2,Completed high School,Seventh Day Adventists,Working Full-Time,D,Under K 849,Yes,25 – 34,"10:00  -  10:14,10:15  -  10:29,10:30  -  10:44"
