Petauke Explorers analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers
18:00  -  18:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
8:45  -  8:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
7:45  -  7:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
15:45  -  15:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
22:45  -  22:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
14:00  -  14:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
7:00  -  7:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
19:00  -  19:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
6:00  -  6:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
19:15  -  19:29,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,19:15  -  19:29,22:45  -  22:59,,7:00  -  7:14,7:45  -  7:59,,7:00  -  7:14,7:45  -  7:59,19:00  -  19:14,22:45  -  22:59,,,7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59,7:00  -  7:14,8:45  -  8:59,18:00  -  18:14,19:15  -  19:29"
23:45  -  23:59,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",,,,,,,20:00  -  20:14,21:45  -  21:59,23:45  -  23:59,0:45  -  0:59,"
21:45  -  21:59,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",,,,,,,20:00  -  20:14,21:45  -  21:59,23:45  -  23:59,0:45  -  0:59,"
20:00  -  20:14,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",,,,,,,20:00  -  20:14,21:45  -  21:59,23:45  -  23:59,0:45  -  0:59,"
0:45  -  0:59,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",,,,,,,20:00  -  20:14,21:45  -  21:59,23:45  -  23:59,0:45  -  0:59,"
6:00  -  6:14,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,",,,,,6:00  -  6:14,7:45  -  7:59,,"
7:45  -  7:59,60528192,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,45+,",,,,,6:00  -  6:14,7:45  -  7:59,,"
15:15  -  15:29,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,",,14:00  -  14:14,15:15  -  15:29,,,20:00  -  20:14,21:45  -  21:59,,"
14:00  -  14:14,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,",,14:00  -  14:14,15:15  -  15:29,,,20:00  -  20:14,21:45  -  21:59,,"
20:00  -  20:14,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,",,14:00  -  14:14,15:15  -  15:29,,,20:00  -  20:14,21:45  -  21:59,,"
21:45  -  21:59,60528193,Eastern,Petauke,Urban,Male,0,None,C2,Some university,Other Christian,Retired - voluntary scholarspensioners,D,"K 1675- K2,499",No,45+,",,14:00  -  14:14,15:15  -  15:29,,,20:00  -  20:14,21:45  -  21:59,,"
7:15  -  7:29,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
17:00  -  17:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
7:45  -  7:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
20:00  -  20:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
21:45  -  21:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
20:45  -  20:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
19:45  -  19:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
7:00  -  7:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
20:30  -  20:44,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
15:00  -  15:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
19:30  -  19:44,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"7:00  -  7:14,7:15  -  7:29,19:45  -  19:59,20:45  -  20:59,15:00  -  15:14,17:00  -  17:14,7:00  -  7:14,7:45  -  7:59,,19:30  -  19:44,20:30  -  20:44,20:00  -  20:14,21:45  -  21:59,,"
6:00  -  6:14,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",,19:00  -  19:14,20:45  -  20:59,6:00  -  6:14,7:45  -  7:59,,,,"
20:45  -  20:59,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",,19:00  -  19:14,20:45  -  20:59,6:00  -  6:14,7:45  -  7:59,,,,"
7:45  -  7:59,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,",,19:00  -  19:14,20:45  -  20:59,6:00  -  6:14,7:45  -  7:59,,,,"
