Power  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Power  Yesterday
7:00  -  7:14,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
7:45  -  7:59,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:30  -  8:44,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
7:15  -  7:29,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
7:30  -  7:44,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:15  -  8:29,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
8:00  -  8:14,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
6:30  -  6:44,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
6:00  -  6:14,60549710,Central,Kabwe,Urban,Male,2,One,AB,Completed high School,Roman Catholic,Unemployed [NOT SEEKING A JOB],C1,"K 5,365  -  K 6,102",Yes,19 – 24,"6:00  -  6:14,6:30  -  6:44,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44"
6:15  -  6:29,60549714,Central,Kabwe,Urban,Male,1,None,C1,University completed,Muslim,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34,"6:00  -  6:14,6:15  -  6:29"
