Jive  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Jive  Wednesday
18:30  -  18:44,60578547,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
15:15  -  15:29,60578547,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18:45  -  18:59,60578547,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
16:45  -  16:59,60578547,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:15  -  19:29,60578547,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
17:15  -  17:29,60578547,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
16:30  -  16:44,60578547,Copperbelt,Ndola,Urban,Male,1,None,C1,Some university,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,19 – 24,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
12:45  -  12:59,82105045,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59"
12:00  -  12:14,82105045,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59"
12:45  -  12:59,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
6:45  -  6:59,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
7:15  -  7:29,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
18:00  -  18:14,82209675,Copperbelt,Ndola,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14"
6:00  -  6:14,82209675,Copperbelt,Ndola,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14"
7:45  -  7:59,82209675,Copperbelt,Ndola,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14"
17:00  -  17:14,82209675,Copperbelt,Ndola,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14"
12:45  -  12:59,82299806,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,"K 1675- K2,499",Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59"
12:00  -  12:14,82299806,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,"K 1675- K2,499",Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59"
9:15  -  9:29,82532621,Copperbelt,Ndola,Urban,Male,2,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,"9:15  -  9:29,10:45  -  10:59"
10:45  -  10:59,82532621,Copperbelt,Ndola,Urban,Male,2,One,C1,Completed high School,Other Christian,Student,C1,Refusal [Do not show],Yes,35 – 44,"9:15  -  9:29,10:45  -  10:59"
11:00  -  11:14,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"10:00  -  10:14,11:00  -  11:14"
10:00  -  10:14,82624379,Copperbelt,Ndola,Urban,Male,3,Two or More,AB,Some university,Other Christian,Self employed,AB,"K 26,320   -  K 29,689",Yes,35 – 44,"10:00  -  10:14,11:00  -  11:14"
