Tuta analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Tuta
11:00  -  11:14,134843950,Luapula,Mansa,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,"8:45  -  8:59,10:15  -  10:29,11:00  -  11:14,15:00  -  15:14,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
8:45  -  8:59,134843950,Luapula,Mansa,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,"8:45  -  8:59,10:15  -  10:29,11:00  -  11:14,15:00  -  15:14,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:00  -  20:14,134843950,Luapula,Mansa,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,"8:45  -  8:59,10:15  -  10:29,11:00  -  11:14,15:00  -  15:14,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:30  -  18:44,134843950,Luapula,Mansa,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,"8:45  -  8:59,10:15  -  10:29,11:00  -  11:14,15:00  -  15:14,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
10:15  -  10:29,134843950,Luapula,Mansa,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,"8:45  -  8:59,10:15  -  10:29,11:00  -  11:14,15:00  -  15:14,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
15:00  -  15:14,134843950,Luapula,Mansa,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,"8:45  -  8:59,10:15  -  10:29,11:00  -  11:14,15:00  -  15:14,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
19:15  -  19:29,134843950,Luapula,Mansa,Urban,Female,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,35 – 44,"8:45  -  8:59,10:15  -  10:29,11:00  -  11:14,15:00  -  15:14,18:30  -  18:44,19:15  -  19:29,20:00  -  20:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
18:00  -  18:14,134912076,Luapula,Mansa,Rural,Female,2,,D,Other (specify) …….,Christian,Not employed,D,Under K 849,,19 – 24,"18:00  -  18:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
21:00  -  21:14,134871714,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
20:45  -  20:59,134871714,Luapula,Mansa,Rural,Male,1,,D,Primary,Christian,Employed for cash,D,Under K 849,,25 – 34,"20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
