Kokoliko  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kokoliko  Thursday
18:00  -  18:14,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
21:30  -  21:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
21:45  -  21:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
22:15  -  22:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
22:00  -  22:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
22:30  -  22:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,"21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
21:00  -  21:14,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
23:30  -  23:44,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
21:30  -  21:44,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
22:45  -  22:59,60781398,Copperbelt,Chingola,Urban,Female,1,None,C1,Primary school completed,Roman Catholic,Housewife,Do not know,Do not know,Yes,35 – 44,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
