Rise FM  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Rise FM  Friday
14:30  -  14:44,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:45  -  14:59,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:00  -  14:14,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
14:15  -  14:29,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59"
17:00  -  17:14,60848526,Copperbelt,Chingola,Urban,Female,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
17:45  -  17:59,60848526,Copperbelt,Chingola,Urban,Female,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
17:30  -  17:44,60848526,Copperbelt,Chingola,Urban,Female,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:00  -  18:14,60848526,Copperbelt,Chingola,Urban,Female,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60848526,Copperbelt,Chingola,Urban,Female,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,60848526,Copperbelt,Chingola,Urban,Female,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
17:15  -  17:29,60848526,Copperbelt,Chingola,Urban,Female,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,60848526,Copperbelt,Chingola,Urban,Female,0,None,C1,Primary school completed,Other Christian,Self employed,D,K 850-K 1674,Yes,35 – 44,",17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
