Nakonde  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Nakonde  Saturday
14:00  -  14:14,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
14:30  -  14:44,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
14:15  -  14:29,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
15:15  -  15:29,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
13:30  -  13:44,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
13:15  -  13:29,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
15:00  -  15:14,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
13:45  -  13:59,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
13:00  -  13:14,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
14:45  -  14:59,60602199,Muchinga,Nakonde,Urban,Female,0,None,C2,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29"
4:00  -  4:14,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:15  -  3:29,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:45  -  3:59,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:00  -  3:14,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
3:30  -  3:44,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
4:30  -  4:44,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
5:15  -  5:29,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
4:45  -  4:59,134703442,Muchinga,Isoka,Rural,Male,1,,D,Secondary,Christian,Not employed,D,Under K 849,,25 – 34,"3:00  -  3:14,3:15  -  3:29,3:30  -  3:44,3:45  -  3:59,4:00  -  4:14,4:15  -  4:29,4:30  -  4:44,4:45  -  4:59,5:00  -  5:14,5:15  -  5:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
