Jive analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Jive
9:45  -  9:59,60745446,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,",8:00  -  8:14,9:45  -  9:59,,,,,,8:00  -  8:14,9:45  -  9:59"
8:00  -  8:14,60745446,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Others,Unemployed [NOT SEEKING A JOB],D,"K 1675- K2,499",Yes,19 – 24,",8:00  -  8:14,9:45  -  9:59,,,,,,8:00  -  8:14,9:45  -  9:59"
0:15  -  0:29,60745449,Copperbelt,Ndola,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [NOT SEEKING A JOB],C2,Under K 849,No,19 – 24,"22:00  -  22:14,0:15  -  0:29,,,,,,,"
22:00  -  22:14,60745449,Copperbelt,Ndola,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [NOT SEEKING A JOB],C2,Under K 849,No,19 – 24,"22:00  -  22:14,0:15  -  0:29,,,,,,,"
6:30  -  6:44,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,",,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,"
5:15  -  5:29,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,",,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,"
5:30  -  5:44,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,",,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,"
5:00  -  5:14,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,",,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,"
6:45  -  6:59,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,",,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,"
6:15  -  6:29,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,",,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,"
6:00  -  6:14,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,",,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,"
5:45  -  5:59,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,",,,5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,,,,"
6:00  -  6:14,60778663,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,7:45  -  7:59,18:00  -  18:14,19:45  -  19:59,,,,,,,"
7:45  -  7:59,60778663,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,7:45  -  7:59,18:00  -  18:14,19:45  -  19:59,,,,,,,"
19:45  -  19:59,60778663,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,7:45  -  7:59,18:00  -  18:14,19:45  -  19:59,,,,,,,"
18:00  -  18:14,60778663,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"6:00  -  6:14,7:45  -  7:59,18:00  -  18:14,19:45  -  19:59,,,,,,,"
9:45  -  9:59,60826856,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"8:00  -  8:14,9:45  -  9:59,,,,,,,"
8:00  -  8:14,60826856,Copperbelt,Ndola,Urban,Male,1,One,C1,Completed high School,Seventh Day Adventists,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"8:00  -  8:14,9:45  -  9:59,,,,,,,"
12:00  -  12:14,82105045,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59"
12:45  -  12:59,82105045,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59"
7:15  -  7:29,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
12:45  -  12:59,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
6:45  -  6:59,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14,6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
6:00  -  6:14,82209675,Copperbelt,Ndola,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14"
17:00  -  17:14,82209675,Copperbelt,Ndola,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14"
7:45  -  7:59,82209675,Copperbelt,Ndola,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14"
18:00  -  18:14,82209675,Copperbelt,Ndola,Urban,Male,1,One,AB,Some university,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,25 – 34,"6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14,6:00  -  6:14,7:45  -  7:59,17:00  -  17:14,18:00  -  18:14"
12:00  -  12:14,82299806,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,"K 1675- K2,499",Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59"
12:45  -  12:59,82299806,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Do odd jobs or piece work,C1,"K 1675- K2,499",Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59,,12:00  -  12:14,12:45  -  12:59,12:00  -  12:14,12:45  -  12:59"
