FCC Solwezi analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,FCC Solwezi
18:00  -  18:14,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,"18:00  -  18:14,20:15  -  20:29,,,18:00  -  18:14,20:15  -  20:29,18:00  -  18:14,20:30  -  20:44,,,"
20:30  -  20:44,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,"18:00  -  18:14,20:15  -  20:29,,,18:00  -  18:14,20:15  -  20:29,18:00  -  18:14,20:30  -  20:44,,,"
20:15  -  20:29,60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+,"18:00  -  18:14,20:15  -  20:29,,,18:00  -  18:14,20:15  -  20:29,18:00  -  18:14,20:30  -  20:44,,,"
18:00  -  18:14,60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+,"17:00  -  17:14,18:00  -  18:14,,,,,,,"
17:00  -  17:14,60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+,"17:00  -  17:14,18:00  -  18:14,,,,,,,"
18:00  -  18:14,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,19:00  -  19:14,,,,,,,"
19:00  -  19:14,60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"18:00  -  18:14,19:00  -  19:14,,,,,,,"
10:45  -  10:59,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,",,,10:00  -  10:14,10:45  -  10:59,,,,"
10:00  -  10:14,60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,19 – 24,",,,10:00  -  10:14,10:45  -  10:59,,,,"
10:00  -  10:14,60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24,",,,,,,,10:00  -  10:14"
