PASME  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,PASME  Thursday
22:15  -  22:29,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"10:00  -  10:14,11:45  -  11:59,19:00  -  19:14,22:15  -  22:29"
10:00  -  10:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"10:00  -  10:14,11:45  -  11:59,19:00  -  19:14,22:15  -  22:29"
19:00  -  19:14,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"10:00  -  10:14,11:45  -  11:59,19:00  -  19:14,22:15  -  22:29"
11:45  -  11:59,60528194,Eastern,Petauke,Urban,Female,1,None,C2,Some high school,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,35 – 44,"10:00  -  10:14,11:45  -  11:59,19:00  -  19:14,22:15  -  22:29"
20:45  -  20:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"19:00  -  19:14,20:45  -  20:59"
19:00  -  19:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,"19:00  -  19:14,20:45  -  20:59"
12:00  -  12:14,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,"12:00  -  12:14,12:45  -  12:59"
12:45  -  12:59,60688035,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",No,25 – 34,"12:00  -  12:14,12:45  -  12:59"
15:00  -  15:14,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"15:00  -  15:14,15:30  -  15:44,15:45  -  15:59"
15:30  -  15:44,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"15:00  -  15:14,15:30  -  15:44,15:45  -  15:59"
15:45  -  15:59,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,"15:00  -  15:14,15:30  -  15:44,15:45  -  15:59"
7:00  -  7:14,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:30  -  9:44"
7:15  -  7:29,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:30  -  9:44"
7:30  -  7:44,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:30  -  9:44"
8:45  -  8:59,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:30  -  9:44"
7:45  -  7:59,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:30  -  9:44"
9:30  -  9:44,60886275,Eastern,Petauke,Rural,Female,1,None,C2,Some high school,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:45  -  8:59,9:30  -  9:44"
