Icengelo  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Icengelo  Wednesday
8:00  -  8:14,60528461,Copperbelt,Kalulushi,Urban,Male,3,None,C1,Primary school completed,Others,Self employed,D,Under K 849,Yes,25 – 34,8:00  -  8:14
20:30  -  20:44,60533355,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Primary school completed,Roman Catholic,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:30  -  20:44,21:30  -  21:44"
21:30  -  21:44,60533355,Copperbelt,Kalulushi,Urban,Female,2,None,C2,Primary school completed,Roman Catholic,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"20:30  -  20:44,21:30  -  21:44"
20:30  -  20:44,60548541,Copperbelt,Kitwe,Urban,Male,3,One,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"20:30  -  20:44,21:45  -  21:59"
21:45  -  21:59,60548541,Copperbelt,Kitwe,Urban,Male,3,One,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"20:30  -  20:44,21:45  -  21:59"
20:30  -  20:44,60549183,Copperbelt,Kitwe,Urban,Male,2,One,AB,University completed,Roman Catholic,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,19 – 24,"20:30  -  20:44,21:30  -  21:44"
21:30  -  21:44,60549183,Copperbelt,Kitwe,Urban,Male,2,One,AB,University completed,Roman Catholic,Working Part-Time,C1,"K 3,155   -  K 3,890",Yes,19 – 24,"20:30  -  20:44,21:30  -  21:44"
19:45  -  19:59,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:00  -  19:14,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19:15  -  19:29,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
