Kokoliko  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kokoliko  Friday
20:00  -  20:14,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
19:45  -  19:59,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
19:30  -  19:44,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
20:15  -  20:29,60554971,Copperbelt,Chingola,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C1,"K 6,103   -  K 7,892",Yes,45+,",19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29"
15:00  -  15:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
16:00  -  16:14,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:45  -  15:59,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:30  -  15:44,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15:15  -  15:29,60559081,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C2,Under K 849,Yes,19 – 24,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
18:45  -  18:59,60581148,Copperbelt,Mufulira,Urban,Male,2,None,AB,Any other post-high school qualification,Other Christian,Working Full-Time,Do not know,Do not know,Yes,19 – 24,",18:45  -  18:59"
15:00  -  15:14,60582293,Copperbelt,Chingola,Rural,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,No,15 – 18,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:15  -  15:29,60582293,Copperbelt,Chingola,Rural,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,No,15 – 18,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:45  -  15:59,60582293,Copperbelt,Chingola,Rural,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,No,15 – 18,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
15:30  -  15:44,60582293,Copperbelt,Chingola,Rural,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,No,15 – 18,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59"
9:30  -  9:44,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:45  -  9:59,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:45  -  10:59,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:45  -  11:59,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:00  -  10:14,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:30  -  10:44,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:00  -  9:14,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
12:00  -  12:14,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:15  -  11:29,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:15  -  9:29,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:00  -  11:14,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:30  -  11:44,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:15  -  10:29,60601686,Copperbelt,Chingola,Rural,Female,1,None,C2,Primary school completed,Other Christian,Housewife,D,Under K 849,Yes,25 – 34,",9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
15:00  -  15:14,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:00  -  17:14,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
16:00  -  16:14,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
17:45  -  17:59,60641373,Copperbelt,Chingola,Urban,Female,1,None,C1,Some primary school,Other Christian,Housewife,C1,Under K 849,Yes,25 – 34,",15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14"
