Petauke Explorers  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Tuesday
6:00  -  6:14,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59"
7:45  -  7:59,60543324,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Self employed,D,Under K 849,Yes,35 – 44,"6:00  -  6:14,7:45  -  7:59"
18:00  -  18:14,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"18:00  -  18:14,20:00  -  20:14"
20:00  -  20:14,60736739,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Other Christian,Student,C2,Under K 849,Yes,19 – 24,"18:00  -  18:14,20:00  -  20:14"
10:00  -  10:14,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:45  -  10:59,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:30  -  8:44,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:45  -  8:59,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
8:00  -  8:14,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
10:30  -  10:44,60760178,Eastern,Petauke,Rural,Female,1,None,C1,Some university,Other Christian,Self employed,D,K 850-K 1674,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59"
