Petauke Explorers  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Petauke Explorers  Friday
15:45  -  15:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59"
14:00  -  14:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59"
7:45  -  7:59,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59"
7:00  -  7:14,60528190,Eastern,Petauke,Urban,Female,0,None,D,Some primary school,Anglican/Protestant,Working Full-Time,D,Under K 849,Yes,25 – 34,",7:00  -  7:14,7:45  -  7:59,14:00  -  14:14,15:45  -  15:59"
21:45  -  21:59,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",20:00  -  20:14,21:45  -  21:59,23:45  -  23:59,0:45  -  0:59"
0:45  -  0:59,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",20:00  -  20:14,21:45  -  21:59,23:45  -  23:59,0:45  -  0:59"
20:00  -  20:14,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",20:00  -  20:14,21:45  -  21:59,23:45  -  23:59,0:45  -  0:59"
23:45  -  23:59,60528191,Eastern,Petauke,Urban,Male,1,None,C1,Some high school,Seventh Day Adventists,Student,Do not know,No Income,No,19 – 24,",20:00  -  20:14,21:45  -  21:59,23:45  -  23:59,0:45  -  0:59"
6:00  -  6:14,60543327,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,",6:00  -  6:14,8:45  -  8:59"
8:45  -  8:59,60543327,Eastern,Petauke,Urban,Female,0,None,C2,Some high school,Other Christian,Student,Do not know,No Income,No,15 – 18,",6:00  -  6:14,8:45  -  8:59"
19:00  -  19:14,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",19:00  -  19:14,23:45  -  23:59"
23:45  -  23:59,60584015,Eastern,Petauke,Urban,Female,1,None,D,No formal education,Others,Housewife,D,K 850-K 1674,No,19 – 24,",19:00  -  19:14,23:45  -  23:59"
19:00  -  19:14,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,",19:00  -  19:14,20:45  -  20:59"
20:45  -  20:59,60628614,Eastern,Petauke,Urban,Female,1,None,C2,Some university,Anglican/Protestant,Self employed,D,K 850-K 1674,No,25 – 34,",19:00  -  19:14,20:45  -  20:59"
10:00  -  10:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,10:00  -  10:14,10:45  -  10:59"
7:45  -  7:59,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,10:00  -  10:14,10:45  -  10:59"
7:00  -  7:14,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,10:00  -  10:14,10:45  -  10:59"
10:45  -  10:59,60628615,Eastern,Petauke,Urban,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,10:00  -  10:14,10:45  -  10:59"
15:00  -  15:14,60628616,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,K 850-K 1674,Yes,19 – 24,",12:00  -  12:14,15:00  -  15:14"
12:00  -  12:14,60628616,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Self employed,C2,K 850-K 1674,Yes,19 – 24,",12:00  -  12:14,15:00  -  15:14"
19:45  -  19:59,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",17:00  -  17:14,19:45  -  19:59"
17:00  -  17:14,60628618,Eastern,Petauke,Urban,Female,1,None,C2,Completed high School,Others,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,",17:00  -  17:14,19:45  -  19:59"
17:45  -  17:59,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,",8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59"
8:45  -  8:59,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,",8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59"
8:00  -  8:14,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,",8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59"
17:15  -  17:29,60651315,Eastern,Petauke,Urban,Female,1,None,C1,Completed high School,Other Christian,Working Full-Time,D,K 850-K 1674,No,19 – 24,",8:00  -  8:14,8:45  -  8:59,17:15  -  17:29,17:45  -  17:59"
21:30  -  21:44,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:45  -  21:59,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:15  -  21:29,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
21:00  -  21:14,60688037,Eastern,Petauke,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,No Income,No,25 – 34,",7:00  -  7:14,7:45  -  7:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59"
