Millennium  Monday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Millennium  Monday
9:15  -  9:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
12:00  -  12:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:45  -  9:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:15  -  10:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:30  -  11:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
11:15  -  11:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
8:45  -  8:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
10:00  -  10:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
9:30  -  9:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
8:30  -  8:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14"
