Iwave  Yesterday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Iwave  Yesterday
21:00  -  21:14,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:00  -  19:14,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:45  -  19:59,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:30  -  20:44,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:45  -  20:59,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:00  -  18:14,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:30  -  19:44,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:15  -  18:29,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:30  -  18:44,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
19:15  -  19:29,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:15  -  20:29,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
20:00  -  20:14,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:45  -  18:59,60578499,Copperbelt,Chingola,Rural,Male,1,None,C2,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
18:00  -  18:14,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:15  -  18:29,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:30  -  18:44,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
18:45  -  18:59,60712973,Copperbelt,Chingola,Urban,Male,1,Two or More,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,Under K 849,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59"
7:45  -  7:59,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:30  -  7:44,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:00  -  7:14,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:15  -  7:29,60712976,Copperbelt,Chingola,Urban,Female,1,None,C1,Some high school,Other Christian,Housewife,No Income,Under K 849,Yes,25 – 34,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59"
7:15  -  7:29,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
6:45  -  6:59,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:00  -  7:14,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
6:30  -  6:44,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
7:30  -  7:44,60712979,Copperbelt,Chingola,Urban,Male,1,None,C1,Some high school,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34,"6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44"
13:00  -  13:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:30  -  13:44,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
14:00  -  14:14,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:15  -  13:29,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
13:45  -  13:59,60715045,Copperbelt,Chingola,Urban,Male,1,None,C1,Some primary school,Refused (DON’T READ),Student,D,Under K 849,No,15 – 18,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14"
8:45  -  8:59,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:30  -  8:44,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:00  -  8:14,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:30  -  9:44,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:45  -  9:59,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
10:00  -  10:14,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
8:15  -  8:29,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
9:00  -  9:14,60753402,Copperbelt,Chingola,Rural,Female,1,None,C2,Some high school,Other Christian,Housewife,Do not know,Under K 849,Yes,25 – 34,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14"
