Millennium  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Millennium  Tuesday
18:30  -  18:44,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
19:30  -  19:44,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
18:45  -  18:59,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
19:15  -  19:29,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
18:00  -  18:14,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
19:00  -  19:14,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
18:15  -  18:29,60558638,Lusaka,Lusaka,Urban,Male,1,None,C2,Some high school,Others,Working Full-Time,D,K 850-K 1674,No,25 – 34,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
14:30  -  14:44,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:00  -  14:14,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
14:15  -  14:29,60558639,Lusaka,Lusaka,Urban,Male,2,One,AB,Completed high School,Others,Retired - voluntary scholarspensioners,C2,"K 3,891  -  K 4,627",Yes,45+,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
7:30  -  7:44,60583352,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"7:30  -  7:44,10:45  -  10:59"
10:45  -  10:59,60583352,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Other Christian,Working Full-Time,C2,"K 3,891  -  K 4,627",Yes,35 – 44,"7:30  -  7:44,10:45  -  10:59"
9:15  -  9:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
8:00  -  8:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
12:00  -  12:14,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
9:45  -  9:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
10:15  -  10:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
11:30  -  11:44,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
11:15  -  11:29,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
8:45  -  8:59,60612959,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,Do not know,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29"
