Jive  Tuesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Jive  Tuesday
6:15  -  6:29,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
5:30  -  5:44,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
5:45  -  5:59,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:45  -  6:59,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
5:00  -  5:14,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
5:15  -  5:29,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:00  -  6:14,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
6:30  -  6:44,60750328,Copperbelt,Ndola,Urban,Female,1,None,C1,Completed high School,Seventh Day Adventists,Housewife,D,"K 1675- K2,499",Yes,19 – 24,"5:00  -  5:14,5:15  -  5:29,5:30  -  5:44,5:45  -  5:59,6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
12:45  -  12:59,82105045,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59"
12:00  -  12:14,82105045,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Retired - voluntary scholarspensioners,C1,Refusal [Do not show],Yes,35 – 44,"12:00  -  12:14,12:45  -  12:59"
12:45  -  12:59,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
6:45  -  6:59,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
13:00  -  13:14,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
7:15  -  7:29,82188824,Copperbelt,Ndola,Urban,Male,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C1,Refusal [Do not show],Yes,25 – 34,"6:45  -  6:59,7:15  -  7:29,12:45  -  12:59,13:00  -  13:14"
