,E Africa  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E Africa  Tueday
0,21:15  -  21:29,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
1,22:30  -  22:44,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
2,22:00  -  22:14,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
3,22:15  -  22:29,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
4,21:45  -  21:59,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
5,21:00  -  21:14,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
6,21:30  -  21:44,60782407,Copperbelt,Luanshya,Urban,Male,1,Two or More,AB,Some high school,Anglican/Protestant,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14,22:15  -  22:29,22:30  -  22:44"
7,22:30  -  22:44,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
8,23:00  -  23:14,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
9,22:00  -  22:14,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
10,22:15  -  22:29,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
11,22:45  -  22:59,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
12,23:30  -  23:44,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
13,23:15  -  23:29,60560778,Copperbelt,Ndola,Urban,Female,2,None,C1,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"22:00  -  22:14,22:15  -  22:29,22:30  -  22:44,22:45  -  22:59,23:00  -  23:14,23:15  -  23:29,23:30  -  23:44"
14,20:30  -  20:44,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
15,19:00  -  19:14,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
16,19:15  -  19:29,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
17,19:30  -  19:44,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
18,20:00  -  20:14,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
19,20:45  -  20:59,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
20,19:45  -  19:59,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
21,20:15  -  20:29,60583046,Copperbelt,Kitwe,Urban,Female,3,One,C1,Some university,Roman Catholic,Working Part-Time,D,"K 14,632 -  K 17,499",Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
22,19:00  -  19:14,60642157,Copperbelt,Ndola,Urban,Female,1,One,C1,Primary school completed,Anglican/Protestant,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
23,19:15  -  19:29,60642157,Copperbelt,Ndola,Urban,Female,1,One,C1,Primary school completed,Anglican/Protestant,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
24,19:30  -  19:44,60642157,Copperbelt,Ndola,Urban,Female,1,One,C1,Primary school completed,Anglican/Protestant,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
25,20:00  -  20:14,60642157,Copperbelt,Ndola,Urban,Female,1,One,C1,Primary school completed,Anglican/Protestant,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
26,19:45  -  19:59,60642157,Copperbelt,Ndola,Urban,Female,1,One,C1,Primary school completed,Anglican/Protestant,Housewife,C2,"K 2,500   -  K 3,154",Yes,25 – 34,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
27,13:45  -  13:59,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
28,16:00  -  16:14,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
29,16:15  -  16:29,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
30,14:15  -  14:29,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
31,14:45  -  14:59,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
32,15:00  -  15:14,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
33,14:00  -  14:14,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
34,13:30  -  13:44,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
35,15:45  -  15:59,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
36,13:00  -  13:14,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
37,14:30  -  14:44,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
38,13:15  -  13:29,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
39,15:30  -  15:44,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
40,15:15  -  15:29,60713895,Copperbelt,Kitwe,Urban,Male,2,None,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C1,K 850-K 1674,Yes,19 – 24,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14,16:15  -  16:29"
