,Channel O  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Channel O  Saturday
10,18:30  -  18:44,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
11,19:45  -  19:59,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
12,17:15  -  17:29,60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14"
13,9:45  -  9:59,60515245,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Other Christian,Student,C1,No Income,Yes,15 – 18,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
14,9:30  -  9:44,60515245,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Other Christian,Student,C1,No Income,Yes,15 – 18,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
15,9:15  -  9:29,60515245,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Other Christian,Student,C1,No Income,Yes,15 – 18,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
16,9:00  -  9:14,60515245,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Other Christian,Student,C1,No Income,Yes,15 – 18,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
17,10:15  -  10:29,60515245,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Other Christian,Student,C1,No Income,Yes,15 – 18,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
18,10:00  -  10:14,60515245,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Other Christian,Student,C1,No Income,Yes,15 – 18,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29"
19,21:15  -  21:29,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
20,22:00  -  22:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
21,21:45  -  21:59,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
22,21:00  -  21:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
23,21:30  -  21:44,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"21:00  -  21:14,21:15  -  21:29,21:30  -  21:44,21:45  -  21:59,22:00  -  22:14"
24,13:00  -  13:14,60595425,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some university,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 1675- K2,499",Yes,25 – 34,13:00  -  13:14
25,16:00  -  16:14,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
26,16:15  -  16:29,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
27,17:45  -  17:59,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
28,17:00  -  17:14,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
29,17:30  -  17:44,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
30,16:45  -  16:59,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
31,17:15  -  17:29,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
32,16:30  -  16:44,60600483,Eastern,Chipata,Urban,Male,1,One,AB,University completed,Other Christian,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
33,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
34,7:30  -  7:44,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
35,8:45  -  8:59,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
36,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
37,8:15  -  8:29,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
38,8:00  -  8:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
39,6:15  -  6:29,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
40,6:30  -  6:44,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
41,7:45  -  7:59,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
42,6:45  -  6:59,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
43,7:00  -  7:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
44,7:15  -  7:29,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
45,8:30  -  8:44,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
46,20:30  -  20:44,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
47,20:00  -  20:14,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
48,20:45  -  20:59,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
49,20:15  -  20:29,82460105,Copperbelt,Ndola,Urban,Male,1,One,AB,Some high school,Other Christian,Student,AB,Refusal [Do not show],Yes,25 – 34,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
50,6:45  -  6:59,60498425,Muchinga,Nakonde,Urban,Female,2,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59"
51,6:30  -  6:44,60498425,Muchinga,Nakonde,Urban,Female,2,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,19 – 24,"6:30  -  6:44,6:45  -  6:59"
52,19:00  -  19:14,60540326,Eastern,Chipata,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,19:00  -  19:14
53,21:00  -  21:14,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"17:45  -  17:59,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
54,17:45  -  17:59,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"17:45  -  17:59,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
55,20:45  -  20:59,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"17:45  -  17:59,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
56,20:30  -  20:44,60588790,Central,Chibombo,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,K 850-K 1674,Yes,19 – 24,"17:45  -  17:59,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14"
57,13:45  -  13:59,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
58,9:30  -  9:44,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
59,12:00  -  12:14,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
60,13:00  -  13:14,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
61,10:15  -  10:29,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
62,13:15  -  13:29,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
63,10:30  -  10:44,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
64,9:45  -  9:59,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
65,11:15  -  11:29,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
66,11:30  -  11:44,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
67,10:00  -  10:14,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
68,12:45  -  12:59,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
69,11:00  -  11:14,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
70,13:30  -  13:44,60607295,Copperbelt,Luanshya,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
