,BBC World News  Friday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,BBC World News  Friday
0,17:15  -  17:29,60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
1,16:45  -  16:59,60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
2,17:00  -  17:14,60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
3,16:15  -  16:29,60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
4,16:00  -  16:14,60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
5,16:30  -  16:44,60567438,Central,Chibombo,Urban,Male,1,Two or More,AB,Any other post-high school qualification,Anglican/Protestant,Retired - voluntary scholarspensioners,C1,"K 1675- K2,499",Yes,45+,"16:00  -  16:14,16:15  -  16:29,16:30  -  16:44,16:45  -  16:59,17:00  -  17:14,17:15  -  17:29"
6,19:00  -  19:14,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
7,18:45  -  18:59,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
8,19:45  -  19:59,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
9,21:00  -  21:14,60596986,Copperbelt,Kitwe,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Working Full-Time,D,K 850-K 1674,Yes,19 – 24,"18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59,20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29"
