,Africa Unite  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Africa Unite  Thursday
0,12:45  -  12:59,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
1,13:45  -  13:59,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
2,14:00  -  14:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
3,12:30  -  12:44,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
4,14:30  -  14:44,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
5,14:15  -  14:29,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
6,15:30  -  15:44,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
7,13:00  -  13:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
8,15:00  -  15:14,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
9,15:15  -  15:29,60567070,Central,Mkushi,Urban,Female,0,One,AB,Some university,Anglican/Protestant,Working Full-Time,C1,"K 4,628   -  K 5,364",Yes,19 – 24,"12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
