SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range
134906051,Central,Mkushi,Urban,Female,0,,AB,Tertiary,Christian,Not employed,AB,"K 35,000    -  K 36,428",,19 – 24
134851889,Central,Mkushi,Rural,Male,1,,AB,Tertiary,Other,Employed for cash,AB,"K 43,168   and above",,45+
60470308,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,25 – 34
60505067,Lusaka,Lusaka district,Urban,Female,1,One,AB,University completed,Other Christian,Working Part-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34
60508564,Lusaka,Kafue,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,19 – 24
60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45+
60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45+
60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,19 – 24
60514731,Central,Kapiri Mposhi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34
60514735,Central,Kapiri Mposhi,Urban,Female,1,None,AB,Completed high School,Roman Catholic,Housewife,C1,"K 2,500   -  K 3,154",Yes,25 – 34
60515240,Central,Mkushi,Urban,Female,0,One,AB,Completed high School,Roman Catholic,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,35 – 44
60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34
60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 18
60515245,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Other Christian,Student,C1,No Income,Yes,15 – 18
60515247,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,25 – 34
60515248,Central,Mkushi,Urban,Female,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34
60515654,Central,Chibombo,Urban,Male,1,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34
60516534,Lusaka,Lusaka district,Urban,Male,1,None,AB,University completed,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,25 – 34
60516539,Lusaka,Lusaka district,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Self employed,D,"K 1675- K2,499",Yes,19 – 24
60519020,Lusaka,Lusaka district,Urban,Male,1,One,AB,University completed,Anglican/Protestant,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,25 – 34
60519021,Lusaka,Lusaka district,Urban,Female,1,None,AB,University completed,Roman Catholic,Working Part-Time,C2,"K 3,891  -  K 4,627",Yes,25 – 34
60519022,Lusaka,Lusaka district,Urban,Male,3,Two or More,AB,Some high school,Seventh Day Adventists,Student,Do not know,Under K 849,Yes,15 – 18
60519024,Lusaka,Lusaka district,Urban,Female,1,One,AB,Some high school,Seventh Day Adventists,Student,C1,"K 5,365  -  K 6,102",Yes,15 – 18
60524230,Southern,Mazabuka,Urban,Male,2,None,AB,Completed high School,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34
60524231,Southern,Mazabuka,Urban,Male,2,None,AB,Some university,Roman Catholic,Working Full-Time,C1,"K 7,893 -  K 11,261",Yes,45+
60524419,Lusaka,Lusaka district,Urban,Female,0,None,AB,University completed,Other Christian,Unemployed [SEEKING A JOB],C2,"K 4,628   -  K 5,364",Yes,35 – 44
60524422,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18
60524423,Lusaka,Lusaka district,Urban,Male,1,None,AB,Some high school,Roman Catholic,Working Full-Time,C2,"K 2,500   -  K 3,154",Yes,25 – 34
60525354,Central,Kabwe,Urban,Male,1,One,AB,University completed,Other Christian,Self employed,C1,"K 5,365  -  K 6,102",Yes,25 – 34
60531169,Copperbelt,Chilililabombwe,Urban,Male,2,One,AB,Completed high School,Others,Self employed,Do not know,Do not know,Yes,45+
60531744,Copperbelt,Mufulira,Urban,Female,1,Two or More,AB,Some university,Roman Catholic,Student,C2,"K 6,103   -  K 7,892",Yes,19 – 24
60532056,Southern,Mazabuka,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34
60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34
60536770,Lusaka,Kafue,Urban,Male,1,None,AB,Some high school,Anglican/Protestant,Student,D,K 850-K 1674,Yes,25 – 34
60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34
60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34
60540118,North-Western,Solwezi,Urban,Female,1,Two or More,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+
60540119,North-Western,Solwezi,Urban,Male,1,None,AB,Completed high School,Others,Unemployed [SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,19 – 24
60540120,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Seventh Day Adventists,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,19 – 24
60540121,North-Western,Solwezi,Urban,Female,1,None,AB,Any other post-high school qualification,Anglican/Protestant,Unemployed [SEEKING A JOB],C1,"K 7,893 -  K 11,261",Yes,25 – 34
60540122,North-Western,Solwezi,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 5,365  -  K 6,102",Yes,45+
