SbjNum,TOM - Radio Spontaneous Awareness,Other Mentions - Radio Spontaneous Awareness,Radio Prompted Awareness,Ever Listened to Radio,Radio Listeners (Yesterday),Radio Listeners (P7D - Past 7 Days),Radio Listeners (P4W) - Past 4 Weeks,Radio Listeners (P12M) - Past 12 Months
60588791,"Phoenix,Radio 1,", ,"Maranatha,Radio 2,Radio 4,Radio Christian Voice,","Maranatha,Phoenix,Radio 1",Phoenix,"Phoenix,Radio 1","Maranatha,Phoenix,Radio 1","Maranatha,Phoenix,Radio 1"
60588792,"Phoenix,Radio 1,Radio 2,Other Specify,",komboni,"5FM,Blue Sky FM,Maranatha,Radio 4,","Maranatha,Phoenix,Radio 1,Radio 2,Radio 4,{0},",None,Radio 1,"Phoenix,Radio 1,Radio 2,Radio 3","Maranatha,Phoenix,Radio 1,Radio 2,Radio 4,{0}"
60588793,"Radio 1,Radio 2,Radio 4,Other Specify,",komboni,"Maranatha,Phoenix,","Radio 1,Radio 2,Radio 4,{0},",{0},"Radio 1,{0}","Radio 1,Radio 4,{0}","Radio 1,Radio 2,Radio 4,{0}"
60588794,"Phoenix,Radio 1,Radio 2,Other Specify,",komboni,"BBC,Maranatha,Radio 4,Radio Christian Voice,Radio 4,","Maranatha,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",None,"Maranatha,Phoenix","Maranatha,Phoenix,Radio 1","Maranatha,Phoenix,Radio 1,Radio 2,Radio 4"
60588795,"Radio 4,Radio 1,Radio 2,Other Specify,",komboni,"KNC,5FM,Maranatha,Phoenix,Radio Christian Voice,","Phoenix,Radio 4,Radio Christian Voice,Radio 1,Radio 2,{0},",{0},"Phoenix,Radio 1,{0}","Phoenix,Radio 4,Radio 1,{0}","Phoenix,Radio 4,Radio Christian Voice,Radio 1,Radio 2,{0}"
60588796,"Phoenix,Radio 1,Radio 2,Other Specify,","Yatsani, Yangeni FM","5FM,BBC,Q FM,Radio 4,Radio Christian Voice,","5FM,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,",Radio 1,"Phoenix,Radio 1","5FM,Phoenix,Q FM,Radio 1,Radio 1","5FM,Phoenix,Q FM,Radio 1,Radio 2,Radio 4"
60588797,"Phoenix,Radio 1,Other Specify,",komboni,"BBC,Maranatha,Q FM,Radio 2,Radio 4,Radio Christian Voice,","Phoenix,Radio 1,Radio 2,{0},",None,Radio 1,Radio 1,"Phoenix,Radio 1,Radio 2"
60595421,"Radio Christian Voice,Hot FM,Komboni,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM,", ,"5FM,BBC,EvelynHone,Joy,Metro FM,Millennium,Modern voice,Parliament,Power,Rock FM,Roots,United Voice,UNZA Radio,Radio 1,Radio 2,Radio 4,ZNBC MUSIC,","EvelynHone,Hot FM,Joy,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4","Komboni,Phoenix","Komboni,Phoenix,Q FM,Radio 3","Komboni,Phoenix,Q FM,Radio 3","Radio Christian Voice,EvelynHone,Hot FM,Joy,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yatsani, Yangeni FM,Radio 1,Radio 2,Radio 4"
60595422,"Komboni,Radio 1,Radio 2,Radio 4,", ,"BBC,Radio Christian Voice,EvelynHone,Hot FM,Joy,Millennium,Parliament,Phoenix,Q FM,Radio Christian Voice,UNZA Radio,","Komboni,Phoenix,Radio 1,Radio 4,",Komboni,"Komboni,Radio 1","Komboni,Phoenix,Radio 1,Radio 3","Komboni,Phoenix,Radio 1,Radio 4"
60595423,"Radio Christian Voice,EvelynHone,Hot FM,Komboni,Millennium,Phoenix,Radio 1,Radio 2,Radio 4,", ,"5FM,BBC,Joy,Parliament,Q FM,Radio Christian Voice,UNZA Radio,Yatsani, Yangeni FM,","BBC,Radio Christian Voice,Hot FM,Komboni,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Komboni,"Hot FM,Komboni,Radio 1,Radio 3","Radio Christian Voice,Hot FM,Komboni,Radio 1,Radio 3","BBC,Radio Christian Voice,Hot FM,Komboni,Radio 1,Radio 2,Radio 4,Radio Christian Voice"
60595424,"Radio Christian Voice,EvelynHone,Hot FM,Komboni,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"5FM,BBC,Joy,Metro FM,Millennium,Parliament,Q FM,UNZA Radio,Yatsani, Yangeni FM,","Hot FM,Komboni,Millennium,Phoenix,Q FM,Radio 1,Radio 4",Komboni,"Hot FM,Komboni,Q FM","Hot FM,Komboni,Q FM","Hot FM,Komboni,Millennium,Phoenix,Q FM,Radio 1,Radio 4"
60595425,"Hot FM,Radio 1,Radio 2,Radio 4,", ,"5FM,BBC,Radio Christian Voice,EvelynHone,Komboni,Millennium,Phoenix,Power,Q FM,UNZA Radio,Yatsani, Yangeni FM,","Hot FM,Power,",None,"Hot FM,Power","Hot FM,Power","Hot FM,Power"
60595426,"Hot FM,Joy,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,UNZA Radio,", ,"Radio 1,Radio 2,Radio 4,","Hot FM,Joy,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,None,None,"Q FM,Radio Christian Voice"
60595927,"KNC,Radio 1,", ,"Maranatha,Radio 2,Radio 4,","KNC,Radio 1,Radio 2,Radio 4,",None,"KNC,Radio 1","KNC,Radio 1,Radio 2,Radio 3","KNC,Radio 1,Radio 2,Radio 4"
60595928,"KNC,Maranatha,", ,"Phoenix,Q FM,Radio 4,Radio Christian Voice,","KNC,Phoenix,Q FM,Radio 4,",KNC,KNC,"KNC,Phoenix,Q FM,Radio 3","KNC,Phoenix,Q FM,Radio 4"
60595929,"KNC,", ,"Maranatha,Radio 1,Radio 2,Radio 4,","KNC,Maranatha,Radio 1,Radio 2,Radio 4",Radio 3,KNC,"KNC,Radio 3","KNC,Maranatha,Radio 1,Radio 2,Radio 4"
60595930,"KNC,Power,Q FM,Other Specify,",Cloud Fm,"BBC,Phoenix,Radio 4,","KNC,BBC,Phoenix,Power,Q FM,Radio 4,{0}","BBC,{0}","KNC,BBC,Power","KNC,BBC,Phoenix,Power,Q FM,Radio 4,{0}","KNC,BBC,Phoenix,Power,Q FM,Radio 4,{0}"
60595931,"KNC,Phoenix,Power,Q FM,Other Specify,",Komboni radio,"Radio 1,Radio 2,Radio 4,","KNC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,{0},",None,"KNC,Phoenix,Power","KNC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 3","KNC,Phoenix,Power,Q FM,Radio 1,Radio 2,Radio 4,{0}"
60596170,"SKY,", ,"BBC,Byta,Chikuni,Choma Maano,Mazabuka,Mosi-0-Tunya,Q FM,Radio 1,Radio 2,Radio Christian Voice,Sun FM,Radio 1,Radio 2,Radio 4,","Chikuni,Mazabuka,Radio 1,Radio 2,SKY",None,"Mazabuka,SKY","Mazabuka,SKY","Chikuni,Mazabuka,Radio 1,Radio 2,SKY"
60596171,"Chikuni,Mazabuka,Radio 1,Radio 2,SKY,Radio 1,Radio 2,Radio 4,Other Specify,",komboni,"BBC,Kariba,Modern,Mosi-0-Tunya,Q FM,Radio 4,Radio Christian Voice,Sun FM,","BBC,Chikuni,Mazabuka,Modern,Mosi-0-Tunya,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,SKY,Sun FM,Radio 1,Radio 2,Radio 4,{0},","BBC,Mazabuka,Radio 1,Radio 2,{0}","BBC,Mazabuka,Radio 1,Radio 2,{0}","BBC,Chikuni,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,SKY,{0}","BBC,Chikuni,Mazabuka,Modern,Mosi-0-Tunya,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,SKY,Sun FM,Radio 1,Radio 2,Radio 4,{0}"
60596986,"Chimwemwe,Icengelo,Phoenix,Radio 1,Radio Christian Voice,Sun,Radio 1,", ,"BBC,","Chimwemwe,Radio 1,Radio Christian Voice,Sun,","Radio 1,Sun","Radio 1,Sun","Chimwemwe,Radio 1,Radio Christian Voice,Sun","Chimwemwe,Radio 1,Radio Christian Voice,Sun"
60597315,"Icengelo,Phoenix,", ,"Flava FM,Radio 1,Radio 2,","Icengelo,Phoenix,",None,None,"Icengelo,Phoenix","Icengelo,Phoenix"
60597711,"Radio 1,Radio 2,", ,"BBC,Isoka,Muchinga,Radio Christian Voice,","BBC,Isoka,Muchinga,Radio 1,Radio 2,Radio Christian Voice,","Radio 1,Radio 1","Radio 1,Radio 1","Radio 1,Radio 1","Radio 1,Radio 2"
60597809,"BBC,Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,Yar,", ,"None,",Sun,Sat,Sat,Sat,Sun
60598338,"BBC,Flava FM,Icengelo,Parliament,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,", ,"Q FM,",BBC,BBC,BBC,BBC,BBC
60598428,"Baptist Faith,Chimwemwe,Flava FM,Icengelo,Radio 1,Radio 2,", ,"Phoenix,",Flava FM,None,Flava FM,Flava FM,Flava FM
60598577,"Breeze,Maria,Radio 1,", ,"Feel Free,Radio 1,","Breeze,Feel Free,Maria,Radio 1,Radio 1","Feel Free,Radio 1","Feel Free,Maria,Radio 1","Breeze,Feel Free,Maria,Radio 1,ZNBC 0","Breeze,Feel Free,Maria,Radio 1,Radio 1"
60598761,"Kokoliko,Phoenix,", ,"BBC,Flava FM,Icengelo,Iwave,Parliament,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4,ZNBC MUSIC,","Kokoliko,Radio 1,Radio 2",None,Radio 1,Radio 1,"Kokoliko,Radio 1"
60598987,"Icengelo,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,", ,"None,",Sun,Sat,Sat,Sat,Sun
60599173,"Muchinga,Radio 1,Radio 2,Other Specify,",Radio Mano,"BBC,Isoka,","BBC,Isoka,Muchinga,Radio 1,Radio 2,{0},","Radio 1,Radio 1","Isoka,Radio 1,Radio 2,{0}","Isoka,Radio 1,Radio 2,{0}","Isoka,Muchinga,Radio 1,Radio 2,{0}"
60599271,"Mazabuka,Radio 1,Radio 2,Radio 4,Other Specify,",komboni,"BBC,Byta,Chikuni,Choma Maano,Falls,Parliament,Q FM,Radio Christian Voice,SKY,","BBC,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,SKY,{0}",None,Mazabuka,"Mazabuka,Radio 1","Mazabuka,Q FM,Radio 1,Radio 4,SKY,{0}"
60599272,"Chikuni,Mazabuka,SKY,", ,"BBC,Byta,Choma Maano,Falls,Kariba,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","BBC,Byta,Chikuni,Choma Maano,Falls,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,SKY,",Mazabuka,"Mazabuka,SKY","Mazabuka,SKY","BBC,Byta,Chikuni,Choma Maano,Falls,Mazabuka,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,SKY"
60599944,"Icengelo,Yar,", ,"Phoenix,","Icengelo,Phoenix,Yar",Yar,"Icengelo,Yar","Icengelo,Yar","Icengelo,Phoenix,Yar"
60600028,"5FM,Hot FM,Metro FM,Radio 1,", ,"Komboni,Millennium,Radio 2,Radio 4,Radio Christian Voice,Roots,","5FM,Hot FM,Komboni,Metro FM,Millennium,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Roots,",Roots,Roots,"Komboni,Millennium,Radio 1,Roots","5FM,Hot FM,Komboni,Metro FM,Millennium,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Roots"
60600214,"Icengelo,Radio Christian Voice,", ,"Flava FM,Radio 1,","Icengelo,Radio 1,",Radio 1,Radio 1,"Icengelo,Radio 1","Icengelo,Radio 1"
60600380,"don’t know,", ,"BBC,Chimwemwe,Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4,ZNBC MUSIC,","Kokoliko,Parliament,Radio 1,Radio 2,Radio 4",None,ZNBC 0,ZNBC 0,Radio 1
60600483,"Breeze,Maria,Parliament,Radio 1,", ,"BBC,Feel Free,Mphangwe,Parliament,Q FM,Radio 2,Radio 4,Radio 1,","Breeze,Feel Free,Maria,Radio 1,Radio 2","Breeze,Radio 1","Breeze,Radio 1","Breeze,Feel Free,Radio 1,Radio 1","Breeze,Feel Free,Maria,Radio 1,Radio 2"
60600600,"Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,", ,"Radio Christian Voice,Sun,","Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,",None,"Chimwemwe,Phoenix,Sun","Chimwemwe,Phoenix,Sun","Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun"
60600703,"Flava FM,Icengelo,Iwave,Kokoliko,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,Sun,Yar,Radio 1,Radio 2,Radio 4,", ,"None,","Icengelo,Kokoliko,",Kokoliko,"Icengelo,Kokoliko","Icengelo,Kokoliko","Icengelo,Kokoliko"
60600876,"Flava FM,", ,"Radio 1,Radio 2,Yar,","Flava FM,Radio 1,Radio 2,Yar,","Flava FM,Radio 1,Yar",Yar,"Flava FM,Radio 1,Radio 2,Yar","Flava FM,Radio 1,Radio 2,Yar"
60600992,"Icengelo,", ,"Yar,",Icengelo,Icengelo,Icengelo,Icengelo,Icengelo
60601247,"BBC,Chimwemwe,Icengelo,Radio 4,", ,"Kokoliko,Phoenix,Radio Christian Voice,Radio 1,","Chimwemwe,Icengelo,Radio Christian Voice",None,Radio Christian Voice,"Chimwemwe,Radio Christian Voice","Chimwemwe,Icengelo,Radio Christian Voice"
60601393,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio Christian Voice,",Radio Mano,Radio Mano,"Lutanda,Kwithu FM,Radio Mano,Nothern FM","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
60601394,"BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice,", ,"None,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,None,None,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
60601395,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Parliament,Radio 2,Radio 4,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,",None,None,None,None
60601396,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,", ,"BBC,Radio 4,Radio Christian Voice,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,"Lutanda,Kwithu FM,Radio Mano,Parliament,Radio 1","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio Christian Voice"
60601397,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio Christian Voice,", ,"BBC,Radio 4,","BBC,Lutanda,Kwithu FM,Radio Mano,Nothern FM,Parliament,Radio 1,Radio 2,Radio 4,Radio Christian Voice",None,None,None,None
60601398,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,",None,None,None,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1"
60601399,"Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,", ,"BBC,Radio 2,Radio Christian Voice,","Lutanda,Kwithu FM,Radio Mano,Nothern FM,Radio 1,Radio 2","Lutanda,Kwithu FM","Lutanda,Kwithu FM,Radio Mano","Lutanda,Kwithu FM,Radio Mano,Nothern FM","Lutanda,Kwithu FM,Radio Mano,Nothern FM"
60601601,"Komboni,Radio 1,Radio 2,", ,"5FM,BBC,Radio Christian Voice,Comet 10,Kafue,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,UNZA Radio,Radio 4,","5FM,BBC,Radio Christian Voice,Comet 10,Kafue,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,UNZA Radio,Radio 1,Radio 2,Radio 4",None,None,"Radio Christian Voice,Komboni,Millennium,Phoenix,Radio 1,Radio 2,Radio 4,Radio 1,Radio 1","5FM,BBC,Radio Christian Voice,Comet 10,Kafue,Komboni,Millennium,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,UNZA Radio,Radio 1,Radio 2,Radio 4"
60601635,"don’t know,", ,"Icengelo,",Icengelo,Icengelo,Icengelo,Icengelo,Icengelo
60601686,"Kokoliko,", ,"Baptist Faith,BBC,Chimwemwe,Icengelo,Iwave,Jive,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun,Yar,","BBC,Chimwemwe,Icengelo,Iwave,Jive,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Rise FM,Sun,Yar",None,Kokoliko,"BBC,Iwave,Kokoliko","BBC,Iwave,Kokoliko"
60601687,"Iwave,Kokoliko,", ,"Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Rise FM,","Icengelo,Iwave,Kokoliko,Radio 1,Radio 2,Radio 4,Rise FM","Kokoliko,Rise FM","Kokoliko,Rise FM","Kokoliko,Rise FM","Icengelo,Kokoliko,Rise FM"
60601857,"BBC,Chimwemwe,Flava FM,Icengelo,Phoenix,Radio Christian Voice,Sun,", ,"Jive,",Sun,None,Sat,Sat,Sun
60602111,"Chimwemwe,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,", ,"Flava FM,","Chimwemwe,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,","Chimwemwe,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar","Chimwemwe,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar","Chimwemwe,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar","Chimwemwe,Flava FM,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar"
60602198,"Radio 1,", ,"Isoka,Radio 2,","Isoka,Radio 1,Radio 2",Radio 1,Radio 1,Radio 1,"Isoka,Radio 1,Radio 2"
60602199,"Radio 1,Radio 2,", ,"BBC,Isoka,Mpika,Muchinga,Nakonde,Parliament,Radio 4,","Isoka,Muchinga,Nakonde,Radio 1,Radio 2",Radio 1,"Nakonde,Radio 1","Nakonde,Radio 1","Isoka,Muchinga,Nakonde,Radio 1"
60602219,"Icengelo,Radio 1,", ,"Radio 4,","Icengelo,Radio 4,Radio 1",Icengelo,Icengelo,"Icengelo,Radio 3","Icengelo,Radio 4"
60602793,"Iwave,Kokoliko,Rise FM,", ,"Icengelo,Phoenix,","Icengelo,Iwave,Kokoliko,Phoenix,Rise FM",Kokoliko,"Kokoliko,Rise FM","Icengelo,Kokoliko,Rise FM","Icengelo,Iwave,Kokoliko,Phoenix,Rise FM"
60602799,"Chimwemwe,Icengelo,Radio 4,Radio Christian Voice,Yar,", ,"Baptist Faith,Radio 1,Radio 2,","Chimwemwe,Icengelo,Radio 4",None,Chimwemwe,"Chimwemwe,Icengelo,Radio 3","Chimwemwe,Icengelo,Radio 4"
60602800,"Icengelo,Yar,", ,"Flava FM,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Icengelo,None,Icengelo,Icengelo,Icengelo
60602801,"Icengelo,Radio 1,Radio 2,Radio 4,", ,"Yar,",Icengelo,Icengelo,Icengelo,Icengelo,Icengelo
60602802,"Icengelo,Phoenix,Sun,Yar,", ,"Radio 1,","Icengelo,Phoenix,Yar",Phoenix,"Icengelo,Phoenix,Yar","Icengelo,Phoenix,Yar","Icengelo,Phoenix,Yar"
60602803,"Icengelo,Phoenix,Radio 1,Radio 2,Yar,", ,"None,","Icengelo,Phoenix,Yar",None,None,None,"Icengelo,Phoenix,Yar"
60602804,"Flava FM,Icengelo,Phoenix,Radio 2,Radio Christian Voice,Yar,", ,"None,","Flava FM,Icengelo,Phoenix,Radio 2,Radio Christian Voice,Yar,",Flava FM,Radio Christian Voice,"Flava FM,Icengelo,Phoenix,Radio 2,Radio Christian Voice,Yar","Flava FM,Icengelo,Phoenix,Radio 2,Radio Christian Voice,Yar"
60602805,"Icengelo,Radio 2,Radio 4,Radio Christian Voice,Yar,", ,"None,","Icengelo,Radio 2,Radio 4,Radio Christian Voice,Yar",Radio Christian Voice,"Icengelo,Radio 3","Icengelo,Radio 2,Radio 3","Icengelo,Radio 2,Radio 4,Radio Christian Voice,Yar"
60603035,"Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,", ,"None,",Sun,Sat,Sat,Sat,Sun
60603366,"Flava FM,", ,"Icengelo,","Flava FM,Icengelo,",None,Icengelo,Icengelo,"Flava FM,Icengelo"
60603515,"Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,Yar,", ,"Chimwemwe,Flava FM,","Flava FM,Icengelo,Radio Christian Voice,Sun,Yar",None,Sun,"Icengelo,Radio Christian Voice,Sun","Flava FM,Icengelo,Sun,Yar"
60603893,"Flava FM,Icengelo,Kokoliko,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,Yar,", ,"None,",Sun,Sat,Sun,Sat,Sun
60604174,"Icengelo,", ,"Flava FM,Kokoliko,Phoenix,Radio Christian Voice,ZNBC MUSIC,","Flava FM,Icengelo,Radio Christian Voice",None,None,Icengelo,"Flava FM,Icengelo,Radio Christian Voice"
60605690,"Icengelo,Iwave,Kokoliko,", ,"Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Icengelo,Iwave,Kokoliko,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",None,None,Iwave,"Icengelo,Iwave,Kokoliko"
60605691,"Iwave,Kokoliko,Phoenix,Rise FM,", ,"Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,","Icengelo,Iwave,Kokoliko,Rise FM,",None,Icengelo,"Icengelo,Iwave,Kokoliko","Icengelo,Iwave,Kokoliko,Rise FM"
60605819,"Icengelo,Yar,", ,"Flava FM,","Flava FM,Icengelo,Yar",Icengelo,Icengelo,"Icengelo,Yar","Icengelo,Yar"
60605947,"Chimwemwe,Sun,", ,"Icengelo,","Chimwemwe,Icengelo,",Chimwemwe,"Chimwemwe,Icengelo","Chimwemwe,Icengelo","Chimwemwe,Icengelo"
60606204,"BBC,Chimwemwe,Icengelo,Phoenix,Radio Christian Voice,", ,"None,","BBC,Icengelo,Phoenix",None,None,Phoenix,Phoenix
60606205,"Baptist Faith,BBC,Chimwemwe,Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio 1,Radio 2,Radio 4,", ,"None,","Chimwemwe,Icengelo,Radio 1,Radio 2,",Icengelo,"Icengelo,Radio 1,Radio 1","Icengelo,Radio 1,Radio 1","Icengelo,Radio 1,Radio 2"
60606294,"don’t know,", ,"Chimwemwe,Icengelo,Parliament,Phoenix,Q FM,Radio 1,Radio 2,Radio 4,Radio 1,Radio 2,Radio 4,","Chimwemwe,Q FM,",None,Q FM,Q FM,Q FM
60606891,"Radio Christian Voice,Kafue,Radio 1,Radio 2,Radio 4,", ,"Phoenix,","Radio Christian Voice,Kafue,Radio 1",None,"Radio Christian Voice,Kafue","Radio Christian Voice,Kafue,ZNBC 0","Radio Christian Voice,Kafue,Radio 1"
60606892,"Radio Christian Voice,Radio 1,Radio 2,Radio 4,", ,"Kafue,",Kafue,Kafue,Kafue,Kafue,Kafue
60606893,"5FM,BBC,Phoenix,", ,"Komboni,Radio 1,Radio 2,Radio 4,","5FM,BBC,Phoenix",BBC,"BBC,Phoenix","5FM,BBC,Phoenix","BBC,Phoenix"
60606894,"Komboni,Radio 2,Radio 4,", ,"Kafue,",Radio 2,Radio 1,Radio 1,Radio 1,Radio 2
60606895,"Kafue,Radio 4,", ,"Komboni,Phoenix,Radio 1,Radio 2,",Phoenix,Phoenix,Phoenix,Phoenix,Phoenix
60606896,"Kafue,Komboni,Radio 1,Radio 2,Radio 4,Yatsani, Yangeni FM,", ,"Joy,Phoenix,Q FM,Radio Christian Voice,UNZA Radio,",Radio 4,Radio 3,Radio 3,Radio 3,Radio 4
60607037,"Icengelo,Kokoliko,Rise FM,", ,"Baptist Faith,Flava FM,Iwave,Phoenix,","Icengelo,Iwave,Kokoliko,Rise FM,",None,"Icengelo,Rise FM","Icengelo,Rise FM","Icengelo,Iwave,Kokoliko,Rise FM"
60607295,"Other Specify,",ngoma radio,"Chimwemwe,Icengelo,Radio Christian Voice,Sun,","Chimwemwe,Icengelo,{0}",None,{0},{0},"Chimwemwe,Icengelo,{0}"
60607296,"Chimwemwe,Other Specify,",ngoma radio,"Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,","Chimwemwe,{0},",{0},"Chimwemwe,{0}","Chimwemwe,{0}","Chimwemwe,{0}"
60607297,"Icengelo,Other Specify,",ngoma radio,"BBC,Flava FM,Radio 1,Radio 2,Radio 4,Radio Christian Voice,",Icengelo,None,Icengelo,Icengelo,Icengelo
60607298,"Other Specify,",ngoma,"Chimwemwe,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Sun,","Chimwemwe,Icengelo,Radio 1,Radio 2,{0}",None,{0},"Icengelo,{0}","Icengelo,{0}"
60607299,"Radio 1,Other Specify,",ngoma radio,"Baptist Faith,BBC,Icengelo,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun,","BBC,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun,{0}","Icengelo,Radio 3","Icengelo,Radio 4,{0}","Icengelo,Radio 4,{0}","BBC,Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Radio Mpongwe,Sun,{0}"
60607300,"Other Specify,",Ngoma radio,"Icengelo,Phoenix,Radio 1,Radio 2,Radio 4,Radio Christian Voice,Yar,","Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,{0},",None,None,None,"Icengelo,Radio 1,Radio 2,Radio 4,Radio Christian Voice,{0}"
60607363,"Chikuni,Mazabuka,Sun FM,Other Specify,",Phoenix,"Radio 1,Radio 4,Radio Christian Voice,SKY,","Chikuni,Mazabuka,Radio 1,Radio 4,",None,None,None,"Mazabuka,Radio 1,Radio 4"
