SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range
60457317,Lusaka,Kafue,Urban,Female,3,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],No Income,No Income,No,18 – 24
60470308,Lusaka,Lusaka,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,K 850-K 1674,No,25 – 34
60478902,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,18 – 24
60478903,Lusaka,Lusaka,Urban,Male,1,None,C2,Completed high School,Do not belong to any religion,Unemployed [NOT SEEKING A JOB],Do not know,No Income,Yes,18 – 24
60492139,Lusaka,Lusaka,Urban,Female,1,None,C1,Completed high School,Anglican/Protestant,Housewife,D,Under K 849,Yes,18 – 24
60492140,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 3,155   -  K 3,890",Yes,25 – 34
60492141,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],C2,"K 2,500   -  K 3,154",Yes,25 – 34
60492142,Lusaka,Lusaka,Urban,Male,1,One,C1,Completed high School,Roman Catholic,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,18 – 24
60492143,Lusaka,Lusaka,Urban,Male,1,None,C1,Some high school,Roman Catholic,Self employed,D,K 850-K 1674,Yes,25 – 34
60498424,Muchinga,Nakonde,Urban,Female,3,None,C1,Some high school,Anglican/Protestant,Housewife,Do not know,Do not know,Yes,18 – 24
60498425,Muchinga,Nakonde,Urban,Female,2,None,C1,Completed high School,Anglican/Protestant,Unemployed [SEEKING A JOB],D,Under K 849,Yes,18 – 24
60505067,Lusaka,Lusaka,Urban,Female,1,One,AB,University completed,Other Christian,Working Part-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34
60505068,Lusaka,Lusaka,Urban,Female,1,None,D,Primary school completed,Other Christian,Working Full-Time,D,Under K 849,No,35 – 44
60505620,Lusaka,Kafue,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,45 - 60
60506416,Muchinga,Nakonde,Urban,Female,0,None,C1,Completed high School,Other Christian,Working Full-Time,D,Under K 849,Yes,25 – 34
60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45 - 60
60506418,Muchinga,Nakonde,Urban,Male,0,None,C1,Completed high School,Anglican/Protestant,Unemployed [NOT SEEKING A JOB],D,Under K 849,Yes,25 – 34
60508564,Lusaka,Kafue,Urban,Female,1,None,AB,Completed high School,Anglican/Protestant,Self employed,D,K 850-K 1674,Yes,18 – 24
60508779,Central,Chibombo,Urban,Female,1,None,D,Some primary school,Anglican/Protestant,Housewife,D,Under K 849,Yes,35 – 44
60510231,Muchinga,Nakonde,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],C2,Under K 849,Yes,18 – 24
60513115,Lusaka,Lusaka,Urban,Male,1,None,C1,Completed high School,Roman Catholic,Self employed,C2,"K 3,891  -  K 4,627",Yes,25 – 34
60514495,North-Western,Solwezi,Urban,Male,1,One,AB,Completed high School,Other Christian,Self employed,C2,"K 3,155   -  K 3,890",Yes,45 - 60
60514496,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Roman Catholic,Unemployed [NOT SEEKING A JOB],C2,"K 3,891  -  K 4,627",Yes,45 - 60
60514497,North-Western,Solwezi,Urban,Female,2,None,C1,Completed high School,Other Christian,Self employed,D,"K 1675- K2,499",Yes,25 – 34
60514498,North-Western,Solwezi,Urban,Female,1,None,C1,Some university,Other Christian,Self employed,D,"K 1675- K2,499",Yes,18 – 24
60514499,North-Western,Solwezi,Urban,Female,1,None,AB,Some high school,Other Christian,Student,C1,"K 5,365  -  K 6,102",Yes,18 – 24
60514730,Central,Kapiri Mposhi,Urban,Female,1,None,C1,Completed high School,Roman Catholic,Self employed,D,"K 1675- K2,499",Yes,25 – 34
60514731,Central,Kapiri Mposhi,Urban,Female,1,None,AB,Completed high School,Other Christian,Self employed,C2,"K 1675- K2,499",Yes,25 – 34
60514732,Central,Kapiri Mposhi,Urban,Female,1,None,C1,University completed,Other Christian,Working Part-Time,C2,"K 4,628   -  K 5,364",Yes,25 – 34
60514733,Central,Kapiri Mposhi,Urban,Female,1,None,C1,Some high school,Other Christian,Self employed,C1,"K 2,500   -  K 3,154",Yes,25 – 34
60514734,Central,Kapiri Mposhi,Urban,Female,1,One,C1,Some high school,Other Christian,Housewife,C2,No Income,Yes,25 – 34
60514735,Central,Kapiri Mposhi,Urban,Female,1,None,AB,Completed high School,Roman Catholic,Housewife,C1,"K 2,500   -  K 3,154",Yes,25 – 34
60515239,Central,Mkushi,Urban,Female,0,None,C1,Completed high School,Roman Catholic,Working Part-Time,C2,"K 2,500   -  K 3,154",Yes,18 – 24
60515240,Central,Mkushi,Urban,Female,0,One,AB,Completed high School,Roman Catholic,Working Full-Time,C1,"K 3,155   -  K 3,890",Yes,35 – 44
60515241,Central,Mkushi,Urban,Male,1,One,AB,University completed,Roman Catholic,Working Full-Time,C1,"K 11,262  -  K 14,631",Yes,25 – 34
60515242,Central,Mkushi,Urban,Female,1,None,C2,Some high school,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,Yes,15 – 17
60515243,Central,Mkushi,Urban,Male,1,None,C1,Completed high School,Anglican/Protestant,Working Full-Time,D,"K 1675- K2,499",Yes,25 – 34
60515244,Central,Mkushi,Urban,Male,0,None,AB,Some high school,Anglican/Protestant,Student,C2,"K 4,628   -  K 5,364",Yes,15 – 17
