,Al Jazeera  Thursday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Al Jazeera  Thursday
0,12:45  -  12:59,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
1,11:15  -  11:29,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
2,13:45  -  13:59,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
3,12:30  -  12:44,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
4,11:30  -  11:44,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
5,11:45  -  11:59,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
6,13:00  -  13:14,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
7,13:15  -  13:29,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
8,13:30  -  13:44,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
9,11:00  -  11:14,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
10,12:00  -  12:14,60536769,Lusaka,Kafue,Urban,Male,1,None,AB,Completed high School,Seventh Day Adventists,Unemployed [SEEKING A JOB],D,Under K 849,No,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
