,E! Entertainment  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,E! Entertainment  Tueday
0,6:45  -  6:59,60524422,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
1,6:15  -  6:29,60524422,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
2,6:30  -  6:44,60524422,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some high school,Roman Catholic,Student,C1,Under K 849,Yes,15 – 18,"6:15  -  6:29,6:30  -  6:44,6:45  -  6:59"
3,17:45  -  17:59,60763915,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
4,17:00  -  17:14,60763915,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
5,17:30  -  17:44,60763915,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
6,16:45  -  16:59,60763915,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
7,17:15  -  17:29,60763915,Lusaka,Lusaka district,Urban,Female,2,One,AB,Some university,Others,Self employed,C1,K 850-K 1674,Yes,25 – 34,"16:45  -  16:59,17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59"
8,11:15  -  11:29,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
9,11:00  -  11:14,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
10,11:30  -  11:44,82005311,Southern,Livingstone,Urban,Female,1,One,AB,Completed high School,Other Christian,Unemployed [SEEKING A JOB],AB,"K 1675- K2,499",Yes,25 – 34,"11:00  -  11:14,11:15  -  11:29,11:30  -  11:44"
11,17:45  -  17:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
12,19:00  -  19:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
13,17:00  -  17:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
14,17:30  -  17:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
15,18:00  -  18:14,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
16,19:15  -  19:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
17,18:45  -  18:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
18,19:30  -  19:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
19,18:15  -  18:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
20,18:30  -  18:44,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
21,19:45  -  19:59,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
22,17:15  -  17:29,60616147,Lusaka,Lusaka district,Urban,Female,1,None,C1,Completed high School,Other Christian,Unemployed [SEEKING A JOB],Do not know,No Income,Yes,19 – 24,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29,18:30  -  18:44,18:45  -  18:59,19:00  -  19:14,19:15  -  19:29,19:30  -  19:44,19:45  -  19:59"
23,19:15  -  19:29,60704853,Lusaka,Lusaka district,Urban,Male,0,None,C1,Some high school,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
24,19:00  -  19:14,60704853,Lusaka,Lusaka district,Urban,Male,0,None,C1,Some high school,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
25,19:30  -  19:44,60704853,Lusaka,Lusaka district,Urban,Male,0,None,C1,Some high school,Other Christian,Working Part-Time,D,K 850-K 1674,Yes,19 – 24,"19:00  -  19:14,19:15  -  19:29,19:30  -  19:44"
26,14:15  -  14:29,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
27,14:45  -  14:59,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
28,15:00  -  15:14,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
29,14:00  -  14:14,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
30,14:30  -  14:44,60744929,Copperbelt,Luanshya,Urban,Female,1,None,C1,Some high school,Roman Catholic,Student,D,K 850-K 1674,Yes,15 – 18,"14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
31,10:15  -  10:29,60845424,Central,Kabwe,Rural,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C2,Do not know,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14"
32,10:30  -  10:44,60845424,Central,Kabwe,Rural,Female,1,One,C1,Some university,Seventh Day Adventists,Student,C2,Do not know,Yes,19 – 24,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,11:00  -  11:14,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14,16:15  -  16:29,16:30  -  16:44,17:30  -  17:44,17:45  -  17:59,20:00  -  20:14"
