,African magic  Tueday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,African magic  Tueday
0,12:45  -  12:59,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
1,11:15  -  11:29,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
2,13:45  -  13:59,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
3,14:00  -  14:14,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
4,12:30  -  12:44,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
5,14:30  -  14:44,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
6,11:30  -  11:44,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
7,14:15  -  14:29,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
8,11:45  -  11:59,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
9,13:00  -  13:14,60536771,Lusaka,Kafue,Urban,Female,3,One,AB,Completed high School,Other Christian,Self employed,D,Under K 849,Yes,25 – 34,"10:45  -  10:59,11:00  -  11:14,11:15  -  11:29,11:30  -  11:44,11:45  -  11:59,12:00  -  12:14,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59,14:00  -  14:14,14:15  -  14:29,14:30  -  14:44"
