,Hope Channel  Saturday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Hope Channel  Saturday
0,8:00  -  8:14,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"6:15  -  6:29,7:45  -  7:59,8:00  -  8:14"
1,6:15  -  6:29,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"6:15  -  6:29,7:45  -  7:59,8:00  -  8:14"
2,7:45  -  7:59,60538019,Lusaka,Kafue,Urban,Male,1,None,AB,University completed,Seventh Day Adventists,Unemployed [NOT SEEKING A JOB],Do not know,Do not know,Yes,25 – 34,"6:15  -  6:29,7:45  -  7:59,8:00  -  8:14"
3,13:45  -  13:59,60610456,Copperbelt,Mufulira,Urban,Male,3,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
4,13:00  -  13:14,60610456,Copperbelt,Mufulira,Urban,Male,3,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
5,13:15  -  13:29,60610456,Copperbelt,Mufulira,Urban,Male,3,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
6,13:30  -  13:44,60610456,Copperbelt,Mufulira,Urban,Male,3,None,AB,Any other post-high school qualification,Seventh Day Adventists,Working Part-Time,Do not know,Do not know,Yes,25 – 34,"13:00  -  13:14,13:15  -  13:29,13:30  -  13:44,13:45  -  13:59"
7,20:00  -  20:14,82008677,Southern,Livingstone,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 3,891  -  K 4,627",Yes,35 – 44,"19:00  -  19:14,20:00  -  20:14"
8,19:00  -  19:14,82008677,Southern,Livingstone,Urban,Female,0,One,AB,University completed,Other Christian,Working Full-Time,AB,"K 3,891  -  K 4,627",Yes,35 – 44,"19:00  -  19:14,20:00  -  20:14"
9,20:30  -  20:44,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
10,20:00  -  20:14,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
11,20:45  -  20:59,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
12,20:15  -  20:29,82020882,Southern,Livingstone,Urban,Male,0,Two or More,AB,University completed,Other Christian,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
13,20:30  -  20:44,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
14,20:00  -  20:14,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
15,20:45  -  20:59,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
16,20:15  -  20:29,60567064,Lusaka,Lusaka district,Urban,Male,1,None,C1,Primary school completed,Seventh Day Adventists,Self employed,Do not know,Do not know,Yes,35 – 44,"20:00  -  20:14,20:15  -  20:29,20:30  -  20:44,20:45  -  20:59"
17,17:45  -  17:59,60612537,Central,Chibombo,Urban,Female,1,None,C1,University completed,Seventh Day Adventists,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
18,17:00  -  17:14,60612537,Central,Chibombo,Urban,Female,1,None,C1,University completed,Seventh Day Adventists,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
19,17:30  -  17:44,60612537,Central,Chibombo,Urban,Female,1,None,C1,University completed,Seventh Day Adventists,Working Full-Time,AB,"K 7,893 -  K 11,261",Yes,35 – 44,"17:00  -  17:14,17:15  -  17:29,17:30  -  17:44,17:45  -  17:59,18:00  -  18:14,18:15  -  18:29"
