,Emmanuel TV  Wednesday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Emmanuel TV  Wednesday
0,6:00  -  6:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
1,7:30  -  7:44,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
2,8:45  -  8:59,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
3,9:00  -  9:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
4,8:15  -  8:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
5,8:00  -  8:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
6,6:15  -  6:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
7,6:30  -  6:44,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
8,7:45  -  7:59,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
9,6:45  -  6:59,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
10,7:00  -  7:14,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
11,7:15  -  7:29,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
12,8:30  -  8:44,60607299,Copperbelt,Luanshya,Urban,Female,1,None,AB,Some university,Anglican/Protestant,Student,C2,"K 3,891  -  K 4,627",Yes,19 – 24,"6:00  -  6:14,6:15  -  6:29,6:30  -  6:44,6:45  -  6:59,7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14"
13,16:00  -  16:14,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
14,15:00  -  15:14,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
15,15:45  -  15:59,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
16,15:30  -  15:44,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
17,15:15  -  15:29,60683147,Eastern,Chipata,Urban,Female,1,None,AB,University completed,Other Christian,Working Full-Time,C1,"K 6,103   -  K 7,892",Yes,45+,"15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,15:45  -  15:59,16:00  -  16:14"
18,6:00  -  6:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
19,9:00  -  9:14,82006682,Eastern,Chipata,Rural,Male,1,None,AB,Completed high School,Other Christian,Student,AB,Under K 849,Yes,19 – 24,"6:00  -  6:14,9:00  -  9:14"
20,13:45  -  13:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
21,18:45  -  18:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
22,10:15  -  10:29,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
23,12:30  -  12:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
24,10:30  -  10:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
25,14:45  -  14:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
26,12:45  -  12:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
27,15:00  -  15:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
28,13:30  -  13:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
29,8:00  -  8:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
30,11:45  -  11:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
31,15:30  -  15:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
32,8:45  -  8:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
33,8:30  -  8:44,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
34,10:45  -  10:59,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
35,9:00  -  9:14,60506417,Muchinga,Nakonde,Urban,Female,1,None,C1,Some high school,Anglican/Protestant,Working Full-Time,C2,Do not know,Yes,45+,"8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:45  -  11:59,12:15  -  12:29,12:30  -  12:44,12:45  -  12:59,13:30  -  13:44,13:45  -  13:59,14:45  -  14:59,15:00  -  15:14,15:15  -  15:29,15:30  -  15:44,18:45  -  18:59"
